epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,739.576,1.5386,0.86687,1.00955,0.9849,1,0.995,0.64898,1.28112,0.61922,0.91917,0.0006536,0.0006536,0.0006536
70,750.241,1.42683,0.77557,0.8742,0.99393,1,0.995,0.66379,1.23161,0.61252,0.89944,0.0006338,0.0006338,0.0006338
71,760.697,1.31987,0.78669,0.92523,0.99393,1,0.995,0.66379,1.23161,0.61252,0.89944,0.000614,0.000614,0.000614
72,771.321,1.41121,0.76389,0.98135,0.99489,1,0.995,0.68811,1.20286,0.59466,0.88946,0.0005942,0.0005942,0.0005942
73,781.884,1.45332,0.84461,0.88978,0.99489,1,0.995,0.68811,1.20286,0.59466,0.88946,0.0005744,0.0005744,0.0005744
74,792.478,1.50184,0.68776,1.0398,0.99509,1,0.995,0.71206,1.12595,0.56903,0.88345,0.0005546,0.0005546,0.0005546
75,803.237,1.42228,0.68381,0.90161,0.99509,1,0.995,0.71206,1.12595,0.56903,0.88345,0.0005348,0.0005348,0.0005348
76,814.026,1.39298,0.78486,0.92683,0.99505,1,0.995,0.68971,1.10732,0.53946,0.88467,0.000515,0.000515,0.000515
77,824.587,1.40772,0.65212,1.0005,0.99505,1,0.995,0.68971,1.10732,0.53946,0.88467,0.0004952,0.0004952,0.0004952
78,835.242,1.41828,0.67704,0.97842,0.99479,1,0.995,0.69661,1.07925,0.53438,0.88342,0.0004754,0.0004754,0.0004754
79,845.77,1.68166,0.67896,1.20216,0.99479,1,0.995,0.69661,1.07925,0.53438,0.88342,0.0004556,0.0004556,0.0004556
80,856.407,1.39094,0.65647,0.93221,0.99481,1,0.995,0.69571,1.09975,0.5502,0.89105,0.0004358,0.0004358,0.0004358
81,867.07,1.25234,0.65231,0.93224,0.99481,1,0.995,0.69571,1.09975,0.5502,0.89105,0.000416,0.000416,0.000416
82,877.695,1.42099,0.66553,1.01674,0.99469,1,0.995,0.69908,1.09613,0.54664,0.89086,0.0003962,0.0003962,0.0003962
